Code Domaine,Domaine,Code zone (FAO),Zone,Code indicateur,Indicateur,Code sexe,Sexe,Code année,Année,Code Élément,Élément,Code source,Source,Unité,Valeur,Symbole,Description du Symbole,Note
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","9","Argentine","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6199","Valeur","3023","Labour force survey","1000 No","44.89","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","9","Argentine","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2021","2021","6199","Valeur","3023","Labour force survey","1000 No","57.78","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","9","Argentine","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2022","2022","6199","Valeur","3023","Labour force survey","1000 No","69.37","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","9","Argentine","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2023","2023","6199","Valeur","3023","Labour force survey","1000 No","68.22","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","9","Argentine","21126","Share of employment in crop and animal production, hunting and related service activities","1","Total","2017","2017","6121","Valeur","3023","Labour force survey","%","90.55","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","9","Argentine","21126","Share of employment in crop and animal production, hunting and related service activities","1","Total","2018","2018","6121","Valeur","3023","Labour force survey","%","87.81","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","9","Argentine","21126","Share of employment in crop and animal production, hunting and related service activities","1","Total","2019","2019","6121","Valeur","3023","Labour force survey","%","88.66","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","9","Argentine","21126","Share of employment in crop and animal production, hunting and related service activities","1","Total","2020","2020","6121","Valeur","3023","Labour force survey","%","87.83","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","9","Argentine","21126","Share of employment in crop and animal production, hunting and related service activities","1","Total","2021","2021","6121","Valeur","3023","Labour force survey","%","85.51","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","9","Argentine","21126","Share of employment in crop and animal production, hunting and related service activities","1","Total","2022","2022","6121","Valeur","3023","Labour force survey","%","86.67","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","9","Argentine","21126","Share of employment in crop and animal production, hunting and related service activities","1","Total","2023","2023","6121","Valeur","3023","Labour force survey","%","86.25","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","1","Arménie","21160","Emploi total dans les systèmes agroalimentaires (AFS)","1","Total","2017","2017","6199","Valeur","3044","FAO Model","1000 No","768.44","E","Valeur estimée","Modelled using ISIC shares"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","1","Arménie","21160","Emploi total dans les systèmes agroalimentaires (AFS)","1","Total","2018","2018","6199","Valeur","3044","FAO Model","1000 No","767.24","E","Valeur estimée","Modelled using ISIC shares"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","1","Arménie","21160","Emploi total dans les systèmes agroalimentaires (AFS)","1","Total","2019","2019","6199","Valeur","3044","FAO Model","1000 No","780.42","E","Valeur estimée","Modelled using ISIC shares"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","1","Arménie","21160","Emploi total dans les systèmes agroalimentaires (AFS)","1","Total","2020","2020","6199","Valeur","3044","FAO Model","1000 No","795.3","E","Valeur estimée","Modelled using ISIC shares"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","1","Arménie","21160","Emploi total dans les systèmes agroalimentaires (AFS)","1","Total","2021","2021","6199","Valeur","3044","FAO Model","1000 No","840.59","E","Valeur estimée","Modelled using ISIC shares"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","1","Arménie","21160","Emploi total dans les systèmes agroalimentaires (AFS)","1","Total","2022","2022","6199","Valeur","3044","FAO Model","1000 No","859.89","E","Valeur estimée","Modelled using ISIC shares"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","1","Arménie","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2017","2017","6199","Valeur","3021","Household income and expenditure survey","1000 No","379.75","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","1","Arménie","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2018","2018","6199","Valeur","3021","Household income and expenditure survey","1000 No","387.06","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"OEA","Indicateurs de l’emploi: Agriculture et systèmes agroalimentaires","1","Arménie","21111","Employment in crop and animal production, hunting and related service activities","1","Total","2019","2019","6199","Valeur","3021","Household income and expenditure survey","1000 No","348.58","X","Chiffre de source externe","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
